person_id,bloc,birth,death,sex,deg,n_dyn_4hop,n_nodes_4hop,mother_pre_deg,mother_n_dyn_4hop,mother_n_nodes_4hop,father_pre_deg,father_n_dyn_4hop,father_n_nodes_4hop,mgf_pre_deg,mgf_n_dyn_4hop,mgf_n_nodes_4hop
p742.htm#i7411,B1,1256,1282,M,4,9,146,3.0,14.0,250.0,4.0,7.0,152.0,13.0,16.0,357.0
p4033.htm#i40325,B0,1095,1142,M,4,8,111,3.0,2.0,37.0,3.0,4.0,54.0,2.0,2.0,28.0
p11460.htm#i114593,B1,1118,1166,M,2,3,91,3.0,1.0,49.0,7.0,3.0,95.0,1.0,1.0,23.0
p923.htm#i9221,B34,1276,1340,M,5,19,138,4.0,11.0,61.0,4.0,7.0,73.0,5.0,10.0,65.0
p10223.htm#i102230,B34,1243,1295,M,10,13,294,4.0,5.0,106.0,5.0,10.0,185.0,7.0,5.0,98.0
p10311.htm#i103107,B34,1126,1166,M,7,7,138,7.0,7.0,116.0,8.0,7.0,140.0,8.0,8.0,153.0
p67331.htm#i673310,B16,1061,1117,M,2,3,35,5.0,2.0,29.0,4.0,2.0,24.0,10.0,1.0,39.0
p4282.htm#i42817,B1,1262,1267,M,2,4,75,3.0,6.0,161.0,3.0,4.0,91.0,9.0,8.0,231.0
p19081.htm#i190801,B34,1212,1258,M,2,10,81,4.0,11.0,100.0,4.0,12.0,74.0,7.0,10.0,141.0
p4252.htm#i42519,B0,1200,1260,M,2,3,92,6.0,4.0,85.0,6.0,3.0,119.0,5.0,4.0,117.0
p60993.htm#i609924,B3,1203,1265,M,4,4,50,2.0,4.0,54.0,3.0,4.0,18.0,4.0,6.0,113.0
p10486.htm#i104859,B34,1152,1212,M,2,21,274,2.0,1.0,22.0,3.0,21.0,234.0,8.0,1.0,28.0
p51069.htm#i510681,B26,1262,1322,M,2,4,64,4.0,4.0,98.0,3.0,3.0,49.0,4.0,5.0,98.0
p56019.htm#i560187,B26,1175,1235,M,3,1,38,2.0,1.0,16.0,4.0,2.0,27.0,,,
p67304.htm#i673032,B16,1280,1352,M,3,3,25,1.0,2.0,8.0,2.0,2.0,13.0,,,
p67273.htm#i672722,B16,1170,1218,M,2,2,46,4.0,1.0,18.0,4.0,1.0,25.0,2.0,1.0,17.0
p11301.htm#i113003,B1,1089,1122,M,3,3,43,,,,3.0,2.0,48.0,,,
p11697.htm#i116966,B3,1151,1211,M,2,1,11,,,,2.0,1.0,10.0,,,
p65590.htm#i655894,B25,1268,1328,M,2,6,82,3.0,7.0,118.0,3.0,6.0,69.0,7.0,7.0,177.0
p53225.htm#i532241,B0,1164,1224,M,2,3,74,3.0,3.0,36.0,4.0,6.0,75.0,4.0,3.0,26.0
p10474.htm#i104740,B34,1081,1100,M,1,5,68,,,,4.0,9.0,117.0,,,
p70430.htm#i704297,B34,1154,1194,M,2,5,52,,,,4.0,7.0,101.0,,,
p70903.htm#i709022,B4,1098,1146,M,5,5,41,1.0,3.0,11.0,3.0,4.0,26.0,,,
p10681.htm#i106807,B27,1104,1168,M,6,13,188,4.0,8.0,65.0,3.0,6.0,38.0,4.0,10.0,135.0
p22150.htm#i221491,B0,1080,1150,M,4,4,41,2.0,2.0,20.0,4.0,2.0,46.0,,,
p11999.htm#i119990,B44,1128,1158,M,2,4,30,1.0,3.0,19.0,3.0,3.0,28.0,,,
p11397.htm#i113968,B1,1224,1290,M,4,7,202,12.0,6.0,150.0,3.0,4.0,73.0,7.0,4.0,161.0
p45043.htm#i450424,B26,1150,1210,M,3,1,9,,,,0.0,1.0,0.0,,,
p4175.htm#i41750,B4,1239,1265,M,2,12,178,5.0,22.0,325.0,4.0,13.0,169.0,22.0,34.0,580.0
p11302.htm#i113019,B1,1147,1163,M,1,3,46,,,,4.0,3.0,54.0,,,
p10548.htm#i105480,B1,1211,1258,M,2,6,161,3.0,6.0,141.0,7.0,9.0,215.0,9.0,7.0,166.0
p53224.htm#i532238,B0,1058,1128,M,2,6,69,3.0,3.0,27.0,4.0,4.0,62.0,1.0,2.0,10.0
p40494.htm#i404933,B3,1100,1172,M,4,9,101,3.0,1.0,8.0,4.0,1.0,10.0,1.0,1.0,7.0
p67317.htm#i673164,B11,1138,1198,M,2,4,40,3.0,6.0,66.0,2.0,2.0,19.0,3.0,5.0,60.0
p11303.htm#i113027,B1,1162,1200,M,3,1,43,1.0,1.0,32.0,3.0,3.0,50.0,,,
p462.htm#i4617,B34,1115,1173,M,5,7,111,4.0,6.0,79.0,4.0,8.0,82.0,5.0,6.0,78.0
p453.htm#i4529,B34,1130,1189,M,5,15,231,2.0,16.0,228.0,4.0,13.0,154.0,29.0,23.0,394.0
p11209.htm#i112085,B0,1240,1288,M,5,8,130,3.0,6.0,90.0,3.0,4.0,117.0,2.0,5.0,58.0
p922.htm#i9215,B0,1300,1351,M,13,24,196,3.0,11.0,76.0,3.0,11.0,101.0,8.0,12.0,95.0
p46549.htm#i465488,B34,1209,1268,M,2,5,49,1.0,3.0,22.0,3.0,6.0,73.0,,,
p11460.htm#i114596,B1,1106,1167,M,4,5,114,6.0,5.0,64.0,7.0,7.0,93.0,6.0,5.0,63.0
p15193.htm#i151923,B16,1286,1335,M,1,3,30,,,,2.0,4.0,43.0,,,
p10670.htm#i106694,B1,1060,1114,M,2,6,75,1.0,3.0,25.0,4.0,8.0,84.0,,,
p4282.htm#i42816,B1,1261,1261,M,2,5,57,4.0,5.0,99.0,3.0,5.0,73.0,9.0,5.0,139.0
p47729.htm#i477290,B27,1271,1324,M,3,10,104,,,,3.0,10.0,134.0,,,
p46409.htm#i464081,B34,1161,1213,M,2,6,35,3.0,7.0,83.0,1.0,5.0,27.0,6.0,14.0,176.0
p10250.htm#i102491,B34,1278,1365,M,2,9,83,4.0,14.0,204.0,4.0,11.0,118.0,8.0,18.0,325.0
